,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP_per_G,PTS_per_G,TRB_per_G,AST_per_G,WS,WS_per_48,BPM,VORP
2223,1975,127.0,NOJ,Harvey Carmichael,Kentucky State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2224,1975,128.0,LAL,Mike Cashman,Willamette University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2225,1975,129.0,ATL,Oscar Jackson,Duquesne University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2226,1975,130.0,PHO,Jack Schrader,Arizona State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2227,1975,131.0,PHI,Freeman Blade,"Montana State University, Billings",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2228,1975,132.0,MIL,Bob McCurdy,University of Richmond,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2229,1975,133.0,POR,Charley Neal,Oregon State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2230,1975,134.0,NYK,Jerry Homan,Marquette University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2231,1975,135.0,DET,John Kelley,Dillard University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2232,1975,136.0,CLE,Andre McCarter,"University of California, Los Angeles",3,103,1182,392,95,172,0.431,0.25,0.725,11.5,3.8,0.9,1.7,1.1,0.046,-4.5,-0.7
2233,1975,137.0,HOU,Leon Johnson,Centenary College of Louisiana,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2234,1975,138.0,SEA,Ken McKenzie,University of Montana,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2235,1975,139.0,KCK,Jim Bostic,New Mexico State University,1,4,48,26,16,3,0.545,0.0,0.4,12.0,6.5,4.0,0.8,0.1,0.14400000000000002,-1.6,0.0
2236,1975,140.0,CHI,John Murphy,University of Massachusetts Amherst,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2237,1975,141.0,GSW,Mike Rozenski,Saint Mary's College of California,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2238,1975,142.0,BUF,Allen Jones,Pepperdine University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2239,1975,143.0,WSB,Bruce Hamming,Augustana College (IL),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2240,1975,144.0,BOS,Roger Morningstar,University of Kansas,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2243,1975,145.0,NOJ,Fred Stokes,Barber-Scotia College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2244,1975,146.0,ATL,Dave Schlesser,Morningside College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2245,1975,147.0,PHO,Owen Brown,University of Maryland,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2246,1975,148.0,PHI,Larry Harralson,Drake University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2247,1975,149.0,POR,Quintin Braxton,University of Portland,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2248,1975,150.0,MIL,Eric Hays,University of Montana,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2249,1975,151.0,DET,Terry Thomas,University of Detroit Mercy,1,28,136,77,36,3,0.431,0.0,0.7240000000000001,4.9,2.8,1.3,0.1,0.2,0.08199999999999999,-6.1,-0.1
2250,1975,152.0,CLE,Skip Howard,Bowling Green State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2251,1975,153.0,NYK,Tim van Blommesteyn,Princeton University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2252,1975,154.0,HOU,Steve Storther,Providence College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2253,1975,155.0,SEA,Rich Haws,Utah State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2254,1975,156.0,CHI,Gary Tomaszewski,St. Mary's University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2255,1975,157.0,GSW,Scott Trobbe,Stanford University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2256,1975,158.0,BUF,George Rautins,Niagara University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2257,1975,159.0,BOS,Robert Rhodes,Albany State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2258,1975,160.0,WSB,Doug Brookins,Creighton University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2261,1975,161.0,NOJ,Aleksander Belov,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2262,1975,162.0,ATL,Vic Kelly,University of Hawaii,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2263,1975,163.0,PHO,Mike Moon,Arizona State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2264,1975,164.0,PHI,Rick Reed,Azusa Pacific University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2265,1975,165.0,MIL,Romy Thomas,University of Wisconsin-Eau Claire,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2266,1975,166.0,POR,Tyree Foster,University of Portland,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2267,1975,167.0,CLE,Eric Anderson,Macalester College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2268,1975,168.0,NYK,Mo Rivers,North Carolina State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2269,1975,169.0,DET,Mickey Fox,Saint Mary's University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2270,1975,170.0,SEA,Jerry Bellotti,Santa Clara University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2271,1975,171.0,GSW,Maurice Harper,Saint Mary's College of California,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2272,1975,172.0,BUF,Art Allen,Pepperdine University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2273,1975,173.0,WSB,Mike Fahey,Brandeis University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2274,1975,174.0,BOS,Bill Endicott,University of Massachusetts Amherst,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2275,1976,1.0,HOU,John Lucas,University of Maryland,14,928,25556,9951,2151,6454,0.449,0.303,0.7759999999999999,27.5,10.7,2.3,7.0,53.7,0.10099999999999999,-0.4,10.3
2276,1976,2.0,CHI,Scott May,Indiana University,7,355,8029,3690,1450,610,0.462,0.0,0.8109999999999999,22.6,10.4,4.1,1.7,17.4,0.10400000000000001,-1.0,2.0
2277,1976,3.0,KCK,Richard Washington,"University of California, Los Angeles",6,351,7874,3456,2204,409,0.45299999999999996,0.25,0.711,22.4,9.8,6.3,1.2,10.8,0.066,-2.3,-0.6
2278,1976,4.0,DET,Leon Douglas,University of Alabama,7,456,10111,3587,2954,479,0.495,0.0,0.601,22.2,7.9,6.5,1.1,15.2,0.07200000000000001,-1.6,1.1
2279,1976,5.0,POR,Wally Walker,University of Virginia,8,565,10168,3968,1759,844,0.467,0.2,0.643,18.0,7.0,3.1,1.5,12.9,0.061,-2.3,-0.8
2280,1976,6.0,BUF,Adrian Dantley,University of Notre Dame,15,955,34151,23177,5455,2830,0.54,0.171,0.818,35.8,24.3,5.7,3.0,134.2,0.18899999999999997,3.1,44.0
2281,1976,7.0,MIL,Quinn Buckner,Indiana University,10,719,16245,5929,1969,3114,0.461,0.184,0.657,22.6,8.2,2.7,4.3,24.7,0.073,0.5,10.2
2282,1976,8.0,GSW,Robert Parish,Centenary College of Louisiana,21,1611,45704,23334,14715,2180,0.537,0.0,0.721,28.4,14.5,9.1,1.4,147.0,0.154,1.6,41.5
2283,1976,9.0,ATL,Armond Hill,Princeton University,8,468,11785,3214,917,2194,0.408,0.077,0.8290000000000001,25.2,6.9,2.0,4.7,11.3,0.046,-2.4,-1.1
2284,1976,10.0,PHO,Ron Lee,University of Oregon,6,448,9586,3285,1219,1688,0.41600000000000004,0.321,0.705,21.4,7.3,2.7,3.8,10.7,0.054000000000000006,0.0,5.0
2285,1976,11.0,SEA,Bob Wilkerson,Indiana University,7,536,14883,5424,2236,1835,0.425,0.16699999999999998,0.7509999999999999,27.8,10.1,4.2,3.4,8.2,0.027000000000000003,-1.8,0.6
2286,1976,12.0,PHI,Terry Furlow,Michigan State University,4,239,4809,2550,507,568,0.45899999999999996,0.293,0.862,20.1,10.7,2.1,2.4,7.3,0.073,-1.8,0.3
2287,1976,13.0,WSB,Mitch Kupchak,University of North Carolina,9,510,9905,5202,2730,377,0.523,0.0,0.7040000000000001,19.4,10.2,5.4,0.7,27.1,0.131,-1.2,2.0
2288,1976,14.0,WSB,Larry Wright,Grambling State University,6,343,6834,2824,550,1165,0.465,0.261,0.777,19.9,8.2,1.6,3.4,10.6,0.07400000000000001,-1.9,0.2
2289,1976,15.0,CLE,Chuckie Williams,Kansas State University,1,22,65,37,4,7,0.298,0.0,0.75,3.0,1.7,0.2,0.3,-0.2,-0.13699999999999998,-11.5,-0.2
2290,1976,16.0,BOS,Norm Cook,University of Kansas,2,27,148,65,30,6,0.373,0.0,0.529,5.5,2.4,1.1,0.2,-0.1,-0.018000000000000002,-6.5,-0.2
2291,1976,17.0,GSW,Sonny Parker,Texas A&M University,6,452,10916,4471,1841,954,0.501,0.0,0.755,24.2,9.9,4.1,2.1,26.9,0.11800000000000001,2.2,11.5
2294,1976,18.0,CHI,Willie Smith,University of Missouri,4,78,1200,357,134,277,0.4,0.239,0.754,15.4,4.6,1.7,3.6,1.3,0.052000000000000005,-0.8,0.4
2295,1976,19.0,SEA,Bayard Forrest,Grand Canyon University,2,139,2130,569,565,296,0.449,0.0,0.509,15.3,4.1,4.1,2.1,2.7,0.06,-0.8,0.6
2296,1976,20.0,POR,Major Jones,Albany State University,6,374,5063,1643,1323,215,0.49,0.111,0.586,13.5,4.4,3.5,0.6,5.5,0.052000000000000005,-2.4,-0.5
2297,1976,21.0,LAL,Earl Tatum,Marquette University,4,262,5229,2508,682,507,0.45899999999999996,0.33299999999999996,0.746,20.0,9.6,2.6,1.9,7.8,0.071,-0.8,1.6
2298,1976,22.0,POR,Johnny Davis,University of Dayton,10,750,21200,9710,1505,3368,0.44799999999999995,0.17600000000000002,0.821,28.3,12.9,2.0,4.5,38.5,0.087,-1.7,1.4
2299,1976,23.0,MIL,Alex English,University of South Carolina,15,1193,38063,25613,6538,4351,0.507,0.217,0.8320000000000001,31.9,21.5,5.5,3.6,100.7,0.127,1.7,35.6
2300,1976,24.0,MIL,Scott Lloyd,Arizona State University,6,372,5638,1694,1114,356,0.425,0.28600000000000003,0.718,15.2,4.6,3.0,1.0,2.5,0.021,-3.6,-2.2
2301,1976,25.0,NYK,Lonnie Shelton,Oregon State University,10,673,18530,8049,4136,1459,0.49200000000000005,0.09699999999999999,0.738,27.5,12.0,6.1,2.2,37.5,0.09699999999999999,1.1,14.7
2302,1976,26.0,NOJ,Jacky Dorsey,University of Georgia,3,60,449,143,141,16,0.389,0.0,0.544,7.5,2.4,2.4,0.3,0.3,0.031,-6.2,-0.5
2303,1976,27.0,HOU,Phil Hicks,Tulane University,2,57,390,132,94,32,0.447,0.0,0.778,6.8,2.3,1.6,0.6,0.5,0.057999999999999996,-2.9,-0.1
2304,1976,28.0,ATL,Bob Carrington,Boston College,2,82,1787,672,187,120,0.428,0.0,0.76,21.8,8.2,2.3,1.5,1.3,0.036000000000000004,-3.1,-0.5
2305,1976,29.0,SEA,Dennis Johnson,Pepperdine University,14,1100,35954,15535,4249,5499,0.445,0.172,0.797,32.7,14.1,3.9,5.0,82.6,0.11,0.6,23.6
2306,1976,30.0,PHO,Al Fleming,University of Arizona,1,20,97,40,30,7,0.484,0.0,0.588,4.9,2.0,1.5,0.4,0.0,0.018000000000000002,-4.5,-0.1
2307,1976,31.0,WSB,Joe Pace,Coppin State University,2,79,557,255,168,27,0.467,0.0,0.598,7.1,3.2,2.1,0.3,1.1,0.092,-1.8,0.0
2308,1976,32.0,CLE,Mo Howard,University of Maryland,1,32,345,152,39,42,0.485,0.0,0.6859999999999999,10.8,4.8,1.2,1.3,0.6,0.084,-0.5,0.1
2309,1976,33.0,PHO,Butch Feher,Vanderbilt University,1,48,487,248,74,36,0.531,0.0,0.768,10.1,5.2,1.5,0.8,1.5,0.145,-1.8,0.0
2310,1976,34.0,GSW,Marshall Rogers,University of Texas-Pan American,1,26,176,100,11,10,0.371,0.0,0.9329999999999999,6.8,3.8,0.4,0.4,-0.2,-0.043,-9.9,-0.4
2313,1976,35.0,CHI,Dallas Smith,West Texas A&M University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2314,1976,36.0,LAL,Mike Dabney,Rutgers University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2315,1976,37.0,CHI,Lars Hansen,University of Washington,1,15,205,76,59,14,0.509,0.0,0.581,13.7,5.1,3.9,0.9,0.6,0.149,-1.1,0.0
2316,1976,38.0,DET,Phil Sellers,Rutgers University,1,44,329,198,41,25,0.384,0.0,0.722,7.5,4.5,0.9,0.6,0.0,-0.006999999999999999,-5.0,-0.2
2317,1976,39.0,POR,Jeff Tyson,Western Michigan University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2318,1976,40.0,MIL,Lloyd Walton,Marquette University,5,341,5387,1442,370,1243,0.45399999999999996,0.25,0.711,15.8,4.2,1.1,3.6,5.2,0.047,-4.4,-3.3
2319,1976,41.0,NYK,John McGill,Alcorn State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2320,1976,42.0,NOJ,Steve Copp,San Diego State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2321,1976,43.0,LAL,Tom Abernethy,Indiana University,5,319,5434,1779,1011,384,0.49200000000000005,0.0,0.747,17.0,5.6,3.2,1.2,13.4,0.11800000000000001,-0.2,2.5
2322,1976,44.0,HOU,Barnes Hauptfuhrer,Princeton University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2323,1976,45.0,PHO,Ira Terrell,Southern Methodist University,2,127,2483,886,533,144,0.498,0.0,0.638,19.6,7.0,4.2,1.1,4.1,0.08,-2.1,-0.1
2324,1976,46.0,ATL,Larry Cooke,Virginia Polytechnic Institute and State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2325,1976,47.0,PHI,Ron Norwood,DePaul University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2326,1976,48.0,BUF,Gary Brewster,University of Texas at El Paso,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2327,1976,49.0,WSB,Bill Cook,University of Memphis,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2328,1976,50.0,CLE,Gary Cole,University of Wisconsin-Parkside,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2329,1976,51.0,BOS,Jerry Fort,University of Nebraska,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2332,1976,52.0,CHI,Keith Starr,University of Pittsburgh,1,17,65,14,10,6,0.25,0.0,1.0,3.8,0.8,0.6,0.4,-0.2,-0.111,-9.8,-0.1
2333,1976,53.0,ATL,Tom Barker,University of Hawaii,2,98,1830,639,520,75,0.42200000000000004,0.0,0.6920000000000001,18.7,6.5,5.3,0.8,1.3,0.034,-3.8,-0.9
2334,1976,54.0,KCK,Clarence Ramsey,University of Washington,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2335,1976,55.0,DET,Scott Thompson,University of Iowa,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2336,1976,56.0,POR,David Everett,Grand Canyon University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2337,1976,57.0,NYK,Rick Bullock,Texas Tech University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2338,1976,58.0,NOJ,John Service,"University of California, Santa Barbara",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2339,1976,59.0,MIL,Dan Frost,University of Iowa,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2340,1976,60.0,LAL,Wayman Britt,University of Michigan,1,7,16,9,4,2,0.3,0.0,0.75,2.3,1.3,0.6,0.3,0.0,0.046,-4.7,0.0
2341,1976,61.0,HOU,Hercle Ivy,Iowa State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2342,1976,62.0,PHO,Paul Miller,Oregon State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2343,1976,63.0,SEA,Willie Parr,LeMoyne-Owen College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2344,1976,64.0,PHI,Freeman Blade,"Montana State University, Billings",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2345,1976,65.0,WSB,Marion Hillard,University of Memphis,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2346,1976,66.0,CLE,John Engles,University of Pennsylvania,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2347,1976,67.0,BOS,Lewis Linder,Kentucky State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2348,1976,68.0,GSW,Jeff Fosnes,Vanderbilt University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2351,1976,69.0,CHI,Nate Williams,University of Illinois at Urbana-Champaign,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2352,1976,70.0,ATL,Ron Davis,Washington State University,3,78,951,417,139,53,0.42,0.25,0.5710000000000001,12.2,5.3,1.8,0.7,0.1,0.006999999999999999,-5.0,-0.7
2353,1976,71.0,KCK,Willie Hodge,Duke University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2354,1976,72.0,DET,Jim Hearns,Marymount College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2355,1976,73.0,POR,Gary Reddings,Auburn University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2356,1976,74.0,NOJ,Paul Griffin,Western Michigan University,7,480,10053,2443,2650,1116,0.505,0.0,0.6920000000000001,20.9,5.1,5.5,2.3,19.6,0.094,1.6,9.1
2357,1976,75.0,MIL,Tom Lockhart,Manhattan College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2358,1976,76.0,NYK,Beaver Smith,St. John's University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2359,1976,77.0,MIL,James Rappis,University of Arizona,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2360,1976,78.0,HOU,Dave Marrs,University of Houston,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2361,1976,79.0,PHO,Ralph Walker,Saint Mary's College of California,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2362,1976,80.0,SEA,Robert Gray,Wichita State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2363,1976,81.0,PHI,Jeff Browne,Missouri Western State College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2364,1976,82.0,ATL,Connie White,University of California,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2365,1976,83.0,WSB,L.C. Mason,Alabama State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2366,1976,84.0,CLE,Edmund Lawrence,McNeese State University,1,3,19,12,4,1,0.625,0.0,0.5,6.3,4.0,1.3,0.3,0.1,0.201,1.0,0.0
2367,1976,85.0,BOS,Louis McKinney,Saint Louis University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2368,1976,86.0,GSW,Carl Bird,University of California,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2371,1976,87.0,CHI,Tom Paulin,Winston-Salem State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2372,1976,88.0,ATL,Pete Padgett,"University of Nevada, Reno",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2373,1976,89.0,KCK,Andre McCarter,"University of California, Los Angeles",3,103,1182,392,95,172,0.431,0.25,0.725,11.5,3.8,0.9,1.7,1.1,0.046,-4.5,-0.7
2374,1976,90.0,DET,Russell Davis,Virginia Polytechnic Institute and State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2375,1976,91.0,GSW,Duane Barnett,Stanford University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2376,1976,92.0,MIL,Phil Spence,North Carolina State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2377,1976,93.0,NYK,Joe Jones,Grambling State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2378,1976,94.0,NOJ,Barnard Tomlin,Hofstra University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2379,1976,95.0,LAL,Ed Schweitzer,Stanford University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2380,1976,96.0,HOU,Robert Paige,Houston Baptist University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2381,1976,97.0,PHO,Carl Brown,Eastern Kentucky University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2382,1976,98.0,SEA,Darrell Peterson,Wake Forest University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2383,1976,99.0,PHI,Mike Dunleavy,University of South Carolina,11,438,8428,3496,689,1723,0.467,0.33899999999999997,0.81,19.2,8.0,1.6,3.9,16.1,0.092,-1.9,0.2
2384,1976,100.0,BUF,Danny Odums,Fairfield University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2385,1976,101.0,WSB,Pat Tallent,George Washington University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2386,1976,102.0,CLE,Harry Davis,Morris Brown College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2387,1976,103.0,BOS,Art Collins,St. Thomas University,1,29,395,94,41,25,0.354,0.0,0.667,13.6,3.2,1.4,0.9,-0.4,-0.054000000000000006,-6.3,-0.4
2388,1976,104.0,GSW,Gene Cunningham,Norfolk State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2391,1976,105.0,CHI,Barry McLeod,Centenary College of Louisiana,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2392,1976,106.0,ATL,Carl Gerlach,Kansas State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2393,1976,107.0,KCK,Craig Prosser,Canisius College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2394,1976,108.0,DET,Curt Peterson,University of Puget Sound,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2395,1976,109.0,POR,Al DeWitt,Weber State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
